         67092853 function calls (53955639 primitive calls) in 261.939 seconds

   Ordered by: cumulative time
   List reduced from 1915 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  265.619  265.619 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/tests/unit/core/semantic_ingestion/test_bootstrap_graph_coordinator_v3.py:797(_delivery)
        1    0.000    0.000  265.619  265.619 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/provider/service.py:611(sync_event)
        1    0.000    0.000  265.605  265.605 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/provider/service.py:688(_ingest_event)
        1    0.003    0.003  263.400  263.400 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/provider/ingestion.py:259(ingest)
        1    0.001    0.001  257.982  257.982 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/provider/ingestion.py:1008(_run_semantic_ingestion)
4635023/1264146   36.666    0.000  126.773    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:714(_json)
        1    0.000    0.000  123.356  123.356 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/bootstrap_graph_host.py:56(execute)
      121    0.113    0.001  118.515    0.979 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:13021(encode_semantic_contract_result)
      120    0.597    0.005  118.167    0.985 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:13060(encode_semantic_contract)
     5909    0.382    0.000  106.901    0.018 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:854(encode_typed_value)
        1    0.000    0.000  104.484  104.484 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/source_normalization_execution.py:357(normalize_after_recovery_claim)
        1    0.002    0.002  104.481  104.481 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/source_normalization_execution.py:500(_normalize_bootstrap_v3)
1379293/7680   13.275    0.000   97.567    0.013 {method 'join' of 'bytes' objects}
