         52335252 function calls (40456854 primitive calls) in 39.546 seconds

   Ordered by: cumulative time
   List reduced from 1920 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   39.562   39.562 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/tests/unit/core/semantic_ingestion/test_bootstrap_graph_coordinator_v3.py:797(_delivery)
        1    0.000    0.000   39.562   39.562 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/provider/service.py:611(sync_event)
        1    0.000    0.000   39.552   39.552 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/provider/service.py:688(_ingest_event)
        1    0.000    0.000   39.129   39.129 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/provider/ingestion.py:259(ingest)
        1    0.001    0.001   38.287   38.287 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/provider/ingestion.py:1008(_run_semantic_ingestion)
     5587    0.111    0.000   26.273    0.005 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:854(encode_typed_value)
        1    0.000    0.000   23.436   23.436 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/bootstrap_graph_host.py:56(execute)
4064142/872769    6.709    0.000   23.017    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:714(_json)
1305631/7218    2.329    0.000   19.525    0.003 {method 'join' of 'bytes' objects}
874347/16614    0.634    0.000   19.490    0.001 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:739(<genexpr>)
3620977/35741    1.944    0.000   19.367    0.001 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:729(<genexpr>)
2902/1866    0.968    0.000   14.879    0.008 {method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects}
     2019    0.028    0.000   13.734    0.007 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:192(contract_digest)
        1    0.000    0.000   12.910   12.910 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/bootstrap_graph_builtin.py:431(build_builtin_bootstrap_graph_execution_v3)
        1    0.002    0.002   12.910   12.910 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/bootstrap_graph_builtin.py:281(build)
      186    0.002    0.000   12.569    0.068 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:7749(create)
      266    0.007    0.000   11.853    0.045 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:4120(create)
        1    0.001    0.001   10.521   10.521 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/bootstrap_graph_coordinator.py:62(coordinate)
        1    0.000    0.000    9.830    9.830 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/source_normalization_execution.py:357(normalize_after_recovery_claim)
        1    0.000    0.000    9.829    9.829 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/source_normalization_execution.py:500(_normalize_bootstrap_v3)
        1    0.000    0.000    9.577    9.577 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/bootstrap_graph_coordinator.py:167(_execute_attempt)
798243/5588    2.803    0.000    8.782    0.002 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:783(_normalized_typed_json)
  812/804    0.001    0.000    8.579    0.011 /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/main.py:693(model_validate)
        1    0.000    0.000    8.498    8.498 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/source_normalization_stage.py:252(normalize)
       57    0.017    0.000    7.933    0.139 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:13122(decode_semantic_contract)
