         53809146 function calls (42646469 primitive calls) in 44.021 seconds

   Ordered by: cumulative time
   List reduced from 1935 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   44.038   44.038 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/tests/unit/core/semantic_ingestion/test_bootstrap_graph_coordinator_v3.py:797(_delivery)
        1    0.000    0.000   44.038   44.038 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/provider/service.py:611(sync_event)
        1    0.000    0.000   43.982   43.982 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/provider/service.py:688(_ingest_event)
        1    0.000    0.000   43.494   43.494 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/provider/ingestion.py:259(ingest)
        1    0.000    0.000   42.453   42.453 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/provider/ingestion.py:1008(_run_semantic_ingestion)
3762105/617974    7.966    0.000   28.170    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:811(_json_scoped)
   617878    0.657    0.000   26.422    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:802(_json)
        1    0.000    0.000   26.382   26.382 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/bootstrap_graph_host.py:56(execute)
     5491    0.037    0.000   26.062    0.005 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:987(encode_typed_value)
1274833/6992    2.644    0.000   25.391    0.004 {method 'join' of 'bytes' objects}
838950/15936    0.726    0.000   25.353    0.002 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:846(<genexpr>)
3578334/34899    2.307    0.000   25.191    0.001 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:829(<genexpr>)
2902/1866    1.076    0.000   16.563    0.009 {method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects}
        1    0.000    0.000   14.782   14.782 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/bootstrap_graph_builtin.py:431(build_builtin_bootstrap_graph_execution_v3)
        1    0.001    0.001   14.782   14.782 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/bootstrap_graph_builtin.py:281(build)
     2019    0.014    0.000   13.845    0.007 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:200(contract_digest)
      186    0.002    0.000   11.977    0.064 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:7757(create)
        1    0.001    0.001   11.594   11.594 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/bootstrap_graph_coordinator.py:62(coordinate)
      266    0.007    0.000   11.156    0.042 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:4128(create)
        1    0.000    0.000   10.536   10.536 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/bootstrap_graph_coordinator.py:167(_execute_attempt)
  812/804    0.002    0.000   10.531    0.013 /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/main.py:693(model_validate)
       57    0.017    0.000   10.531    0.185 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:13130(decode_semantic_contract)
        1    0.000    0.000   10.334   10.334 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/source_normalization_execution.py:357(normalize_after_recovery_claim)
        1    0.000    0.000   10.333   10.333 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/source_normalization_execution.py:500(_normalize_bootstrap_v3)
       96    0.028    0.000    9.166    0.095 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:1045(decode_typed_value)
        1    0.000    0.000    9.039    9.039 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/source_normalization_stage.py:252(normalize)
      120    0.007    0.000    8.663    0.072 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:13098(encode_semantic_contract)
537936/5588    0.584    0.000    8.143    0.001 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:907(_normalize_scoped)
89870/5087    1.435    0.000    8.106    0.002 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:945(_normalize_container)
        3    0.002    0.001    7.710    2.570 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/atomic_store.py:2152(recover_bootstrap_v3_source_normalization)
        3    0.001    0.000    7.597    2.532 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/source_normalization_repository.py:190(validate_bootstrap_v3_reloaded_members)
2090/1779    0.004    0.000    7.050    0.004 /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/main.py:253(__init__)
  3024807    3.460    0.000    7.019    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:791(_json_string)
387855/361719    0.891    0.000    6.907    0.000 {built-in method builtins.sorted}
     5492    0.008    0.000    6.539    0.001 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:893(_normalized_typed_json)
    39059    0.047    0.000    6.170    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:4113(validate_content_digest)
