         28168542 function calls (22884050 primitive calls) in 22.409 seconds

   Ordered by: cumulative time
   List reduced from 1950 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   22.425   22.425 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/tests/unit/core/semantic_ingestion/test_bootstrap_graph_coordinator_v3.py:797(_delivery)
        1    0.000    0.000   22.425   22.425 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/provider/service.py:611(sync_event)
        1    0.000    0.000   22.400   22.400 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/provider/service.py:688(_ingest_event)
        1    0.000    0.000   22.065   22.065 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/provider/ingestion.py:259(ingest)
        1    0.000    0.000   21.539   21.539 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/provider/ingestion.py:1008(_run_semantic_ingestion)
        1    0.000    0.000   13.873   13.873 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/bootstrap_graph_host.py:56(execute)
393055/25494    0.856    0.000   10.285    0.000 {method 'join' of 'bytes' objects}
190792/90286    0.499    0.000    8.357    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    8.105    8.105 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/bootstrap_graph_builtin.py:431(build_builtin_bootstrap_graph_execution_v3)
        1    0.001    0.001    8.105    8.105 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/bootstrap_graph_builtin.py:281(build)
2902/1866    0.986    0.000    7.483    0.004 {method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects}
     5491    0.008    0.000    7.466    0.001 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:996(encode_typed_value)
587051/5491    1.022    0.000    7.451    0.001 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:1075(_emit_canonical)
81536/5277    0.389    0.000    7.349    0.001 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:1061(_emit_mapping)
       57    0.016    0.000    7.263    0.127 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:13139(decode_semantic_contract)
628870/34795    0.592    0.000    7.138    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:1064(<genexpr>)
